,precision,recall,f1-score,support
admiration,0.1711050534703292,0.9444444444444444,0.28972128528315283,3456.0
amusement,0.14425098830852048,0.9069275515600211,0.24891146589259797,1891.0
anger,0.1138804295560186,0.8728501228501229,0.20147454983694882,1628.0
annoyance,0.09082879954779906,0.9445260837619398,0.16572128400154698,2722.0
approval,0.09687943690904148,0.93826799297835,0.17562498288655842,3418.0
caring,0.06856421761076836,0.8526591107236269,0.1269223282071248,1147.0
confusion,0.10098187914105532,0.8646616541353384,0.18084345961401,1463.0
curiosity,0.16990896022999522,0.9134466769706336,0.28652230122818356,1941.0
desire,0.06453796682838768,0.7546174142480211,0.11890655856979523,758.0
disappointment,0.07801847371893557,0.8491921005385996,0.14290749785991239,1671.0
disapproval,0.09494040926467281,0.9222367846221057,0.17215788615234057,2289.0
disgust,0.08700473838088517,0.8035381750465549,0.15700900573091967,1074.0
embarrassment,0.050156739811912224,0.6055776892430279,0.0926405607191833,502.0
excitement,0.062019072673462676,0.8412132024977699,0.11552125444076933,1121.0
fear,0.08988106843439267,0.7376,0.16023635731664929,625.0
gratitude,0.233763486354982,0.9484978540772532,0.37508486082824166,2330.0
grief,0.02135991456034176,0.5217391304347826,0.04103967168262654,115.0
joy,0.098279049921775,0.8653725735754539,0.17651191008365796,1597.0
love,0.17592377411108528,0.9276960784313726,0.29576089079898416,1632.0
nervousness,0.06611208406304729,0.4136986301369863,0.11400528501321253,365.0
optimism,0.08385076103082587,0.8626342566421707,0.1528445512820513,1769.0
pride,0.022334791618696753,0.3730769230769231,0.04214642624375407,260.0
realization,0.059313725490196076,0.7760932944606413,0.11020492651624922,1715.0
relief,0.026344086021505377,0.5719844357976653,0.050368339900633885,257.0
remorse,0.10981877197727888,0.7837837837837838,0.1926453143534994,518.0
sadness,0.12444710101613868,0.8044822256568779,0.21555026400248473,1294.0
surprise,0.08612774451097804,0.8035381750465549,0.15557959257256174,1074.0
neutral,0.2826347610908442,0.9905230219043362,0.43978247062559545,11185.0
micro avg,0.1185817123927631,0.8967621494670494,0.20946517783253193,49817.0
macro avg,0.10261672448763827,0.7998171209516199,0.1784516172015445,49817.0
weighted avg,0.15204901109579735,0.8967621494670494,0.2532936515142063,49817.0
samples avg,0.122262013210157,0.893952144237977,0.2117014254315846,49817.0
