emotion,best_threshold,best_f1
admiration,0.4,0.5813573180703189
amusement,0.4,0.6289915001148633
anger,0.30000000000000004,0.4059734513274336
annoyance,0.2,0.2972472207517205
approval,0.2,0.30224609375
caring,0.2,0.34391371340523885
confusion,0.2,0.3336831059811123
curiosity,0.2,0.4535132466677637
desire,0.2,0.34651162790697676
disappointment,0.2,0.2481081081081081
disapproval,0.2,0.3187445510026155
disgust,0.30000000000000004,0.30880082346886256
embarrassment,0.2,0.2997658079625293
excitement,0.2,0.2943063352044908
fear,0.30000000000000004,0.4525765496639283
gratitude,0.4,0.8113718411552346
grief,0.30000000000000004,0.18181818181818182
joy,0.30000000000000004,0.40606843124596514
love,0.4,0.6498371335504886
nervousness,0.2,0.2123076923076923
optimism,0.30000000000000004,0.42760736196319016
pride,0.2,0.2388888888888889
realization,0.2,0.20793950850661624
relief,0.1,0.20618556701030927
remorse,0.2,0.5190615835777126
sadness,0.30000000000000004,0.4055232558139535
surprise,0.30000000000000004,0.42667844522968196
neutral,0.2,0.5450745436812039
